scenario,repeat,phase,status,elapsed_sec,slowdown_percent,tool_avg_cpu_percent,tool_max_cpu_percent,tool_avg_rss_mb,tool_max_rss_mb,json_parse_ok,missing_required,evidence_len,p99_latency,avg_latency,throughput,iops,confidence,started_at,ended_at
cpu,1,baseline,0,60.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:35:54Z,2026-07-08T06:36:54Z
cpu,1,with_tool,0,60.015,0.005,0.072,0.100,9.197,10.656,true,"",3,NA,NA,NA,NA,0.85,2026-07-08T06:36:54Z,2026-07-08T06:38:02Z
cpu,2,baseline,0,60.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:38:03Z,2026-07-08T06:39:03Z
cpu,2,with_tool,0,60.012,-0.003,0.020,0.100,8.533,9.574,true,"",3,NA,NA,NA,NA,0.85,2026-07-08T06:39:03Z,2026-07-08T06:40:11Z
cpu,3,baseline,0,60.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:40:11Z,2026-07-08T06:41:11Z
cpu,3,with_tool,0,60.013,-0.002,0.021,0.100,8.692,10.516,true,"",3,NA,NA,NA,NA,0.85,2026-07-08T06:41:11Z,2026-07-08T06:42:19Z
io,1,baseline,0,61.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:42:19Z,2026-07-08T06:43:20Z
io,1,with_tool,0,61.502,0.772,0.000,0.000,5.559,5.605,true,"",6,0.52,0.12,1.6,171.0,0.78,2026-07-08T06:43:20Z,2026-07-08T06:44:29Z
io,2,baseline,0,62.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:44:29Z,2026-07-08T06:45:32Z
io,2,with_tool,0,63.328,0.621,0.000,0.000,5.632,5.660,true,"",6,33.55,5.11,243.01,295.0,0.9,2026-07-08T06:45:32Z,2026-07-08T06:46:41Z
io,3,baseline,0,61.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:46:41Z,2026-07-08T06:47:43Z
io,3,with_tool,0,60.960,-0.844,0.000,0.000,5.602,5.605,true,"",6,0.52,0.2,6.88,106.0,0.78,2026-07-08T06:47:43Z,2026-07-08T06:48:52Z
mem,1,baseline,0,60.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:48:52Z,2026-07-08T06:49:52Z
mem,1,with_tool,0,60.144,0.010,1.215,1.600,9.657,10.754,true,"",10,NA,NA,NA,NA,0.68,2026-07-08T06:49:52Z,2026-07-08T06:51:00Z
mem,2,baseline,0,60.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:51:01Z,2026-07-08T06:52:01Z
mem,2,with_tool,0,60.136,-0.003,1.110,1.300,9.978,10.781,true,"",10,NA,NA,NA,NA,0.68,2026-07-08T06:52:01Z,2026-07-08T06:53:09Z
mem,3,baseline,0,60.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:53:09Z,2026-07-08T06:54:09Z
mem,3,with_tool,0,60.136,0.017,1.103,1.200,9.766,10.852,true,"",10,NA,NA,NA,NA,0.68,2026-07-08T06:54:10Z,2026-07-08T06:55:18Z
lock,1,baseline,0,60.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:55:18Z,2026-07-08T06:56:18Z
lock,1,with_tool,0,60.017,0.005,0.610,3.600,43.591,51.371,true,"",13,NA,NA,NA,NA,0.9,2026-07-08T06:56:18Z,2026-07-08T06:57:27Z
lock,2,baseline,0,60.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:57:27Z,2026-07-08T06:58:28Z
lock,2,with_tool,0,60.023,0.015,0.603,3.600,43.212,43.406,true,"",13,NA,NA,NA,NA,0.9,2026-07-08T06:58:28Z,2026-07-08T06:59:37Z
lock,3,baseline,0,60.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T06:59:37Z,2026-07-08T07:00:37Z
lock,3,with_tool,0,60.019,0.003,0.627,3.600,42.301,49.105,true,"",13,NA,NA,NA,NA,0.9,2026-07-08T07:00:37Z,2026-07-08T07:01:46Z
syscall,1,baseline,0,60.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T07:01:46Z,2026-07-08T07:02:46Z
syscall,1,with_tool,0,60.004,0.000,0.419,0.500,9.945,10.785,true,"",7,NA,515.7,NA,NA,0.82,2026-07-08T07:02:46Z,2026-07-08T07:03:56Z
syscall,2,baseline,0,60.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T07:03:56Z,2026-07-08T07:04:56Z
syscall,2,with_tool,0,60.004,-0.002,0.470,0.600,10.169,10.656,true,"",7,NA,2.84,NA,NA,0.85,2026-07-08T07:04:56Z,2026-07-08T07:06:05Z
syscall,3,baseline,0,60.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-08T07:06:05Z,2026-07-08T07:07:05Z
syscall,3,with_tool,0,60.005,0.002,0.410,0.500,10.166,10.781,true,"",7,NA,0.77,NA,NA,0.85,2026-07-08T07:07:05Z,2026-07-08T07:08:14Z
