ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-08T06:36:57Z,66595,0.0,0.0,5556,1227944,7
2026-07-08T06:36:58Z,66595,0.0,0.0,5640,1227944,7
2026-07-08T06:36:59Z,66595,0.0,0.0,5644,1227944,7
2026-07-08T06:37:00Z,66595,0.0,0.0,5652,1227944,7
2026-07-08T06:37:01Z,66595,0.0,0.0,5760,1227944,7
2026-07-08T06:37:03Z,66595,0.0,0.0,5832,1227944,7
2026-07-08T06:37:04Z,66595,0.0,0.0,5948,1227944,7
2026-07-08T06:37:05Z,66595,0.0,0.1,6096,1227944,7
2026-07-08T06:37:06Z,66595,0.0,0.1,6212,1227944,7
2026-07-08T06:37:07Z,66595,0.0,0.1,6348,1227944,7
2026-07-08T06:37:08Z,66595,0.0,0.1,6608,1227944,7
2026-07-08T06:37:09Z,66595,0.0,0.1,6744,1227944,7
2026-07-08T06:37:10Z,66595,0.0,0.1,6880,1227944,7
2026-07-08T06:37:11Z,66595,0.1,0.1,9176,1227944,7
2026-07-08T06:37:12Z,66595,0.1,0.1,9204,1227944,7
2026-07-08T06:37:13Z,66595,0.1,0.1,9328,1227944,7
2026-07-08T06:37:14Z,66595,0.0,0.1,9356,1227944,7
2026-07-08T06:37:15Z,66595,0.1,0.1,9476,1227944,7
2026-07-08T06:37:16Z,66595,0.1,0.1,9500,1227944,7
2026-07-08T06:37:18Z,66595,0.1,0.1,9960,1228264,8
2026-07-08T06:37:19Z,66595,0.1,0.1,10032,1228264,8
2026-07-08T06:37:20Z,66595,0.1,0.1,10084,1228264,8
2026-07-08T06:37:21Z,66595,0.1,0.1,10120,1228264,8
2026-07-08T06:37:22Z,66595,0.1,0.1,10140,1228264,8
2026-07-08T06:37:23Z,66595,0.1,0.1,10140,1228264,8
2026-07-08T06:37:24Z,66595,0.1,0.1,10140,1228264,8
2026-07-08T06:37:25Z,66595,0.0,0.1,10148,1228264,8
2026-07-08T06:37:26Z,66595,0.0,0.1,10148,1228264,8
2026-07-08T06:37:27Z,66595,0.1,0.1,10176,1228264,8
2026-07-08T06:37:28Z,66595,0.1,0.1,10192,1228264,8
2026-07-08T06:37:29Z,66595,0.1,0.1,10200,1228264,8
2026-07-08T06:37:30Z,66595,0.1,0.1,10220,1228264,8
2026-07-08T06:37:31Z,66595,0.1,0.1,10228,1228264,8
2026-07-08T06:37:33Z,66595,0.1,0.1,10232,1228264,8
2026-07-08T06:37:34Z,66595,0.1,0.1,10232,1228264,8
2026-07-08T06:37:35Z,66595,0.0,0.1,10232,1228264,8
2026-07-08T06:37:36Z,66595,0.1,0.1,10232,1228264,8
2026-07-08T06:37:37Z,66595,0.1,0.1,10232,1228264,8
2026-07-08T06:37:38Z,66595,0.1,0.1,10232,1228264,8
2026-07-08T06:37:39Z,66595,0.1,0.1,10244,1228264,8
2026-07-08T06:37:40Z,66595,0.1,0.1,10276,1228264,8
2026-07-08T06:37:41Z,66595,0.1,0.1,10740,1228584,8
2026-07-08T06:37:42Z,66595,0.1,0.1,10744,1228584,8
2026-07-08T06:37:43Z,66595,0.1,0.1,10744,1228584,8
2026-07-08T06:37:44Z,66595,0.1,0.1,10752,1228584,8
2026-07-08T06:37:45Z,66595,0.1,0.1,10760,1228584,8
2026-07-08T06:37:46Z,66595,0.1,0.1,10760,1228584,8
2026-07-08T06:37:48Z,66595,0.1,0.1,10768,1228584,8
2026-07-08T06:37:49Z,66595,0.1,0.1,10768,1228584,8
2026-07-08T06:37:50Z,66595,0.1,0.1,10772,1228584,8
2026-07-08T06:37:51Z,66595,0.1,0.1,10772,1228584,8
2026-07-08T06:37:52Z,66595,0.1,0.1,10772,1228584,8
2026-07-08T06:37:53Z,66595,0.1,0.1,10772,1228584,8
2026-07-08T06:37:54Z,66595,0.1,0.1,10784,1228584,8
2026-07-08T06:37:55Z,66595,0.1,0.1,10784,1228584,8
2026-07-08T06:37:56Z,66595,0.1,0.1,10800,1228584,8
2026-07-08T06:37:57Z,66595,0.1,0.1,10800,1228584,8
2026-07-08T06:37:58Z,66595,0.1,0.1,10820,1228584,8
2026-07-08T06:37:59Z,66595,0.1,0.1,10832,1228584,8
2026-07-08T06:38:00Z,66595,0.1,0.1,10836,1228584,8
2026-07-08T06:38:01Z,66595,0.1,0.1,10912,1228584,8
