ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:13:57Z,98013,75.0,0.2,14932,1228612,8
2026-07-09T13:13:58Z,98013,19.6,0.7,46076,1228932,8
2026-07-09T13:13:59Z,98013,10.6,0.7,46184,1228932,8
2026-07-09T13:14:00Z,98013,7.1,0.7,46248,1229188,8
2026-07-09T13:14:01Z,98013,5.8,0.7,46308,1229188,8
2026-07-09T13:14:02Z,98013,4.7,0.8,48408,1229252,8
2026-07-09T13:14:03Z,98013,4.2,0.8,52704,1229508,8
2026-07-09T13:14:05Z,98013,3.6,0.8,52708,1229508,8
2026-07-09T13:14:06Z,98013,3.4,0.8,52724,1229572,8
2026-07-09T13:14:07Z,98013,3.0,0.8,52736,1229572,8
2026-07-09T13:14:08Z,98013,2.8,0.8,52736,1229572,8
2026-07-09T13:14:09Z,98013,2.6,0.8,52924,1229572,8
2026-07-09T13:14:10Z,98013,2.4,0.7,46012,1229572,8
2026-07-09T13:14:11Z,98013,2.3,0.7,46016,1229572,8
2026-07-09T13:14:12Z,98013,2.2,0.7,46016,1229572,8
2026-07-09T13:14:13Z,98013,2.1,0.7,46016,1229572,8
2026-07-09T13:14:14Z,98013,2.0,0.7,46016,1229572,8
2026-07-09T13:14:15Z,98013,2.0,0.8,48128,1229572,8
2026-07-09T13:14:16Z,98013,1.9,0.8,48128,1229572,8
2026-07-09T13:14:17Z,98013,1.8,0.8,48128,1229572,8
2026-07-09T13:14:18Z,98013,1.8,0.8,48136,1229572,8
2026-07-09T13:14:19Z,98013,1.7,0.8,48136,1229572,8
2026-07-09T13:14:20Z,98013,1.7,0.8,48136,1229572,8
2026-07-09T13:14:21Z,98013,1.6,0.8,48192,1229572,8
2026-07-09T13:14:22Z,98013,1.6,0.8,48196,1229572,8
2026-07-09T13:14:23Z,98013,1.6,0.8,48208,1229572,8
2026-07-09T13:14:24Z,98013,1.5,0.8,48216,1229572,8
2026-07-09T13:14:25Z,98013,1.5,0.8,48232,1229572,8
2026-07-09T13:14:26Z,98013,1.5,0.8,48236,1229572,8
2026-07-09T13:14:27Z,98013,1.4,0.8,48468,1229828,8
2026-07-09T13:14:28Z,98013,1.4,0.7,46652,1229828,8
2026-07-09T13:14:29Z,98013,1.4,0.7,46660,1230084,8
2026-07-09T13:14:30Z,98013,1.4,0.7,46676,1230084,8
2026-07-09T13:14:31Z,98013,1.4,0.7,46676,1230084,8
2026-07-09T13:14:33Z,98013,1.3,0.7,46692,1230084,8
2026-07-09T13:14:34Z,98013,1.3,0.7,46692,1230084,8
2026-07-09T13:14:35Z,98013,1.3,0.7,46692,1230084,8
2026-07-09T13:14:36Z,98013,1.3,0.7,46692,1230084,8
2026-07-09T13:14:37Z,98013,1.3,0.7,46692,1230084,8
2026-07-09T13:14:38Z,98013,1.2,0.7,46692,1230084,8
2026-07-09T13:14:39Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:40Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:41Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:42Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:43Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:44Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:45Z,98013,1.2,0.7,46964,1230084,8
2026-07-09T13:14:46Z,98013,1.2,0.7,46968,1230084,8
2026-07-09T13:14:47Z,98013,1.2,0.7,46968,1230084,8
2026-07-09T13:14:48Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:49Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:50Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:51Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:52Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:53Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:54Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:55Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:56Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:57Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:14:59Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:15:00Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:15:01Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:15:02Z,98013,1.1,0.7,46968,1230084,8
2026-07-09T13:15:03Z,98013,1.0,0.7,46968,1230084,8
2026-07-09T13:15:04Z,98013,1.0,0.7,47500,1230084,8
2026-07-09T13:15:05Z,98013,1.0,0.7,47500,1230084,8
