ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-08T06:52:04Z,71748,1.3,0.1,10576,1228840,8
2026-07-08T06:52:05Z,71748,1.2,0.1,10932,1228840,8
2026-07-08T06:52:06Z,71748,1.1,0.1,10556,1228840,8
2026-07-08T06:52:07Z,71748,1.2,0.1,10556,1228840,8
2026-07-08T06:52:08Z,71748,1.2,0.1,10948,1228840,8
2026-07-08T06:52:09Z,71748,1.0,0.1,9964,1228840,8
2026-07-08T06:52:10Z,71748,1.1,0.1,10948,1228840,8
2026-07-08T06:52:11Z,71748,1.2,0.1,10312,1228840,8
2026-07-08T06:52:12Z,71748,1.1,0.1,9996,1228840,8
2026-07-08T06:52:14Z,71748,1.1,0.1,10000,1228840,8
2026-07-08T06:52:15Z,71748,1.1,0.1,10960,1228840,8
2026-07-08T06:52:16Z,71748,1.1,0.1,10308,1228840,8
2026-07-08T06:52:17Z,71748,1.1,0.1,9440,1228840,8
2026-07-08T06:52:18Z,71748,1.1,0.1,9972,1228840,8
2026-07-08T06:52:19Z,71748,1.1,0.1,9972,1228840,8
2026-07-08T06:52:20Z,71748,1.1,0.1,9800,1228840,8
2026-07-08T06:52:21Z,71748,1.1,0.1,10940,1228840,8
2026-07-08T06:52:22Z,71748,1.1,0.1,10028,1228840,8
2026-07-08T06:52:23Z,71748,1.1,0.1,10160,1228840,8
2026-07-08T06:52:24Z,71748,1.2,0.1,10224,1228840,8
2026-07-08T06:52:25Z,71748,1.1,0.1,11040,1228840,8
2026-07-08T06:52:26Z,71748,1.1,0.1,9616,1228840,8
2026-07-08T06:52:27Z,71748,1.1,0.1,9972,1228840,8
2026-07-08T06:52:28Z,71748,1.1,0.1,9600,1228840,8
2026-07-08T06:52:29Z,71748,1.1,0.1,10544,1228840,8
2026-07-08T06:52:31Z,71748,1.1,0.1,9904,1228840,8
2026-07-08T06:52:32Z,71748,1.1,0.1,10064,1228840,8
2026-07-08T06:52:33Z,71748,1.1,0.1,9680,1228840,8
2026-07-08T06:52:34Z,71748,1.1,0.1,9828,1228840,8
2026-07-08T06:52:35Z,71748,1.1,0.1,10444,1228840,8
2026-07-08T06:52:36Z,71748,1.1,0.1,10800,1228840,8
2026-07-08T06:52:37Z,71748,1.1,0.1,9612,1228840,8
2026-07-08T06:52:38Z,71748,1.1,0.1,10420,1228840,8
2026-07-08T06:52:39Z,71748,1.1,0.1,10100,1228840,8
2026-07-08T06:52:40Z,71748,1.1,0.1,10560,1228840,8
2026-07-08T06:52:41Z,71748,1.1,0.1,10976,1228840,8
2026-07-08T06:52:42Z,71748,1.1,0.1,9752,1228840,8
2026-07-08T06:52:43Z,71748,1.1,0.1,10200,1228840,8
2026-07-08T06:52:44Z,71748,1.1,0.1,10336,1228840,8
2026-07-08T06:52:46Z,71748,1.1,0.1,9704,1228840,8
2026-07-08T06:52:47Z,71748,1.1,0.1,11032,1228840,8
2026-07-08T06:52:48Z,71748,1.1,0.1,10136,1228840,8
2026-07-08T06:52:49Z,71748,1.1,0.1,9904,1228840,8
2026-07-08T06:52:50Z,71748,1.1,0.1,9712,1228840,8
2026-07-08T06:52:51Z,71748,1.1,0.1,9856,1228840,8
2026-07-08T06:52:52Z,71748,1.1,0.1,9980,1228840,8
2026-07-08T06:52:53Z,71748,1.1,0.1,9560,1228840,8
2026-07-08T06:52:54Z,71748,1.1,0.1,9936,1228840,8
2026-07-08T06:52:55Z,71748,1.1,0.1,10592,1228840,8
2026-07-08T06:52:56Z,71748,1.1,0.1,9860,1228840,8
2026-07-08T06:52:57Z,71748,1.1,0.1,10544,1228840,8
2026-07-08T06:52:58Z,71748,1.1,0.1,10056,1228840,8
2026-07-08T06:52:59Z,71748,1.1,0.1,10704,1228840,8
2026-07-08T06:53:00Z,71748,1.1,0.1,9688,1228840,8
2026-07-08T06:53:02Z,71748,1.1,0.1,10948,1228840,8
2026-07-08T06:53:03Z,71748,1.1,0.1,9688,1228840,8
2026-07-08T06:53:04Z,71748,1.1,0.1,10488,1228840,8
2026-07-08T06:53:05Z,71748,1.1,0.1,9880,1228840,8
2026-07-08T06:53:06Z,71748,1.1,0.1,9948,1228840,8
2026-07-08T06:53:07Z,71748,1.1,0.1,11032,1228840,8
2026-07-08T06:53:08Z,71748,1.1,0.1,10492,1228840,8
2026-07-08T06:53:09Z,71748,1.1,0.1,9724,1228840,8
