ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:20:26Z,100308,42.8,0.0,5568,1227972,6
2026-07-09T13:20:27Z,100308,6.3,0.1,10428,1228548,7
2026-07-09T13:20:28Z,100308,4.6,0.1,10948,1228612,7
2026-07-09T13:20:29Z,100308,3.1,0.1,11008,1228612,7
2026-07-09T13:20:30Z,100308,2.5,0.1,11064,1228612,8
2026-07-09T13:20:31Z,100308,2.2,0.1,10828,1228612,8
2026-07-09T13:20:32Z,100308,2.0,0.1,10608,1228612,8
2026-07-09T13:20:33Z,100308,1.8,0.1,10304,1228612,8
2026-07-09T13:20:34Z,100308,1.6,0.1,10448,1228612,8
2026-07-09T13:20:35Z,100308,1.5,0.1,10560,1228612,8
2026-07-09T13:20:36Z,100308,1.5,0.1,10572,1228868,8
2026-07-09T13:20:37Z,100308,1.4,0.1,10472,1228868,8
2026-07-09T13:20:38Z,100308,1.4,0.1,10600,1228868,8
2026-07-09T13:20:39Z,100308,1.3,0.1,10600,1228868,8
2026-07-09T13:20:40Z,100308,1.3,0.1,10472,1228868,8
2026-07-09T13:20:41Z,100308,1.3,0.1,10284,1228868,8
2026-07-09T13:20:42Z,100308,1.2,0.1,10284,1228868,8
2026-07-09T13:20:43Z,100308,1.2,0.1,10284,1228868,8
2026-07-09T13:20:44Z,100308,1.1,0.1,10604,1228868,8
2026-07-09T13:20:45Z,100308,1.2,0.1,10092,1228868,8
2026-07-09T13:20:47Z,100308,1.1,0.1,11120,1228868,8
2026-07-09T13:20:48Z,100308,1.1,0.1,10160,1228868,8
2026-07-09T13:20:49Z,100308,1.0,0.1,11120,1228868,8
2026-07-09T13:20:50Z,100308,1.1,0.1,10352,1228868,8
2026-07-09T13:20:51Z,100308,1.1,0.1,10608,1228868,8
2026-07-09T13:20:52Z,100308,1.1,0.2,13188,1228868,8
2026-07-09T13:20:53Z,100308,1.0,0.2,13196,1229124,8
2026-07-09T13:20:54Z,100308,1.0,0.1,11340,1229124,8
2026-07-09T13:20:55Z,100308,1.0,0.1,11108,1229124,8
2026-07-09T13:20:56Z,100308,1.0,0.1,11620,1229124,8
2026-07-09T13:20:57Z,100308,1.0,0.1,11036,1229124,8
2026-07-09T13:20:58Z,100308,1.0,0.1,11036,1229124,8
2026-07-09T13:20:59Z,100308,1.0,0.1,11660,1229124,8
2026-07-09T13:21:00Z,100308,1.0,0.1,11660,1229124,8
2026-07-09T13:21:01Z,100308,1.0,0.1,11532,1229124,8
2026-07-09T13:21:02Z,100308,1.0,0.2,12612,1229124,8
2026-07-09T13:21:03Z,100308,1.0,0.1,11308,1229124,8
2026-07-09T13:21:04Z,100308,1.0,0.1,11332,1229124,8
2026-07-09T13:21:05Z,100308,1.0,0.1,10684,1229124,8
2026-07-09T13:21:06Z,100308,1.0,0.2,12196,1229124,8
2026-07-09T13:21:07Z,100308,1.0,0.1,11044,1229124,8
2026-07-09T13:21:09Z,100308,0.9,0.1,11188,1229124,8
2026-07-09T13:21:10Z,100308,0.9,0.1,11976,1229124,8
2026-07-09T13:21:11Z,100308,0.9,0.1,11740,1229124,8
2026-07-09T13:21:12Z,100308,0.9,0.1,11708,1229124,8
2026-07-09T13:21:13Z,100308,0.9,0.1,11324,1229124,8
2026-07-09T13:21:14Z,100308,0.9,0.1,11628,1229124,8
2026-07-09T13:21:15Z,100308,0.9,0.1,11692,1229124,8
2026-07-09T13:21:16Z,100308,0.9,0.1,11692,1229124,8
2026-07-09T13:21:17Z,100308,0.9,0.1,11244,1229124,8
2026-07-09T13:21:18Z,100308,0.9,0.1,11244,1229124,8
2026-07-09T13:21:19Z,100308,0.9,0.1,11244,1229124,8
2026-07-09T13:21:20Z,100308,0.9,0.1,11292,1229124,8
2026-07-09T13:21:21Z,100308,0.9,0.1,11324,1229124,8
2026-07-09T13:21:22Z,100308,0.9,0.1,11356,1229124,8
2026-07-09T13:21:23Z,100308,0.9,0.1,11900,1229124,8
2026-07-09T13:21:24Z,100308,0.9,0.1,11620,1229124,8
2026-07-09T13:21:25Z,100308,0.9,0.1,11044,1229124,8
2026-07-09T13:21:26Z,100308,0.9,0.1,11532,1229124,8
2026-07-09T13:21:27Z,100308,0.9,0.1,11236,1229124,8
2026-07-09T13:21:28Z,100308,0.9,0.1,10916,1229124,8
2026-07-09T13:21:29Z,100308,0.9,0.1,11684,1229124,8
2026-07-09T13:21:30Z,100308,0.9,0.1,11304,1229124,8
2026-07-09T13:21:31Z,100308,0.9,0.1,11896,1229124,8
2026-07-09T13:21:32Z,100308,0.9,0.1,11680,1229124,8
2026-07-09T13:21:33Z,100308,0.9,0.1,11816,1229124,8
